Vendor Product Number,Rating
bc526e08-23de-43a4-8893-283cdc1c1ed1,3
78c40f3d-c271-4a0f-8a02-744b11146d3c,5
bbe81fed-4e9a-4411-8cad-af9a69026d5b,4
2a47dd40-eb2f-482d-9d41-12d67293102a,3
8b6c5fb7-e270-437d-bc18-fc487c8e6d86,4
cb7f2e88-5704-4549-9fe8-58384f757fd1,5
8cc79e39-3af0-45c5-952d-a11c344baca3,4
4234abd0-535c-4919-8ccb-a2a3eb13f28e,3
8770c414-1d93-40d1-88da-7bad2b30488f,4
11f00473-929c-4131-801d-7e979194455a,3
9c4d8aab-c1b2-4c62-a644-1664f2ed897e,5
dd7e19ce-adfb-474d-a139-3078551be6a0,4
bf35f115-44cc-4764-9959-52cec38702fd,3
8060c517-c63d-4ea2-a012-814f73e51272,4
902f27d0-36e7-47ed-a369-4900ca51e955,3
6ddea08b-937d-47c6-9c2e-41b84343434c,5
c7be18f1-d2d7-4f79-a1de-b698b7e9d22e,4
cfdd4b23-bf82-4778-9ae5-d03704e4f65f,3
8abc0527-fe64-40d1-b058-dc024cac9b18,4
880912f5-b2e8-4899-8d28-793835d7b804,3
40615511-a2e2-45a7-ae81-d63543e448b2,5
341e35c4-2063-4977-b0e4-990aef453d3f,4
41011ed4-6862-4a4c-949e-4683019ecad6,3
8c90022d-c9b1-44e0-b2e1-d1a6f5fd9d3a,4
2ea179a6-53ed-4b7e-bf67-051d3c2a1a48,5
16482328-5562-4190-ae86-3b6caf8edd3a,4
3c917147-1677-4703-a171-38ca2a8f6a58,3
a8cfc7fc-081c-48b4-9060-55e2528129bc,4
0f9f5f94-76cd-47b5-a955-30039f204336,3
89dfaec8-734a-4719-b6b1-eb32a7c93cf0,5
a3354b55-c93a-4b04-a5f2-8e144b6f4976,4
fb8eb98d-180e-42c8-8f96-fff0db527d24,3
f5d3a21a-08df-46c7-bd69-927c57982270,4
be630eda-98d3-465f-94eb-b45d203ec8f2,3
320a79a5-ebd3-42d5-9bcf-636403d34859,5
7be9a69b-12f2-459f-92e4-37dd45a9af8b,4
29523d35-527e-41ff-a906-1f2f572401f3,3
8dcb447c-d178-4a26-8b8d-1710aaf85217,4
d9509ae3-3f85-40d1-bdec-fa7accccdb79,5
660a73f9-8ce1-4ab7-8b60-7bb4e0fc8039,4
b9a37be9-0e0d-48f9-8237-a0d18d787c07,3
624b0abd-c10c-420a-bd3c-6fcf3738858a,4
df24074b-39c3-49db-a17d-118cee93e1cd,3
6a6f3d03-2fba-4f42-af8d-5230f5d48c77,5
50bb5950-9166-4ea5-aefe-577f50337d8c,4
2245f6b4-360d-40b1-9e43-91f2901a442f,3
30d60e13-c459-4c89-8295-a344a91294a7,4
beb80705-75e3-4c9a-b521-a549b49b39c6,3
0bc0a756-d932-4d8f-9cc0-8ab5a9dd1441,5
42ed1e32-32e5-4be0-ae60-170ca97ffb8a,4
e9fc1f80-fd6e-44c8-a431-e8acc9a37c9f,3
331ea34a-4b12-46d5-9f04-c65f898f7e9a,4
57480e0d-4d30-4e21-b028-08d5f1750cc8,3
0ec4100b-d8fc-4a84-900e-96bbbe623c39,5
37577f5a-8e92-455e-aeca-d69f36207b27,4
533b414c-7b66-485b-ab74-5ac8b3932749,3
d72cbc79-db3f-4128-bc97-780c767e6b5d,4
8a22dfaf-2f52-43ff-81b6-c713cb3f872e,3
59b84061-33b6-4249-8474-0d988abe485e,5
f3a5defd-9457-4259-b370-e8167dd3d2c3,4
849794f9-1516-4c3a-98ab-d89772a8ee3d,3
5f799806-222c-45c6-aa12-4b9044836f85,4
6c9bbb3e-a80f-4753-89b4-bc225c32352a,3
0d883310-c817-4b33-b663-69ffd6636978,5
89b01537-f6de-47da-9c5a-882d76053e39,4
e08b3f54-758d-4f93-b0be-af6668919387,3
5f9fa2c0-942a-422f-8684-5cfc3ba75e16,4
f8872584-b2b0-41f1-bb1a-2a6d4e6473ec,3
d7f29d46-f6c3-485d-b48f-568df0de0c6b,5
d00645fe-1e89-4e9b-90dd-36c1e521fcc0,4
422a2d26-deff-4d41-aaa1-4e4ae58584f6,3
52a08db0-c202-4ee7-abd0-f26a2e4c02ab,4
c3f0aad6-40ad-409c-950b-256a91b5aa54,3
14ee8f0e-bc2e-49b5-8f79-a3c03e1c693c,5
39767e14-db75-40b7-bc05-10ac74130800,4
43ca0ab6-2cec-408e-ad30-194fde57df9a,3
970ebd82-6867-4a95-a1a5-7335a86edaef,4
1de62ca9-1d42-456c-9f8f-f94a6a03c50d,3
ace62847-004e-4f8a-8b15-a68cc86fc87f,5
07a7d3bb-8601-4981-95d1-00e82f9a4533,4
63f1be2f-feb5-463a-8696-24f301d5588a,3
9bae67b1-9075-4c6e-bbc6-e7e786111f4a,4
35edbba2-d397-4bee-af55-2cc72601d805,3
e77c0cd5-6e22-4f2c-baca-b1020f11c1f5,5
020cc415-e6c0-48e4-90e3-68089e27f148,4
182b8ab5-cbc9-4f16-bf49-871c4e22830b,3
2d7fb9ad-2179-4f59-9091-939b60843359,4
f053d136-d009-4734-82ee-06c0bdb349a1,3
a253d0cf-521c-4ecf-9f14-d27124d4944d,5
511f26eb-696d-4eca-958d-13ab4feaefe1,4
4f594867-4b62-4a04-9abb-ab1b3424950a,3
849aba3c-4efa-4814-8189-498ea8f730a7,4
f6ebca12-bd31-4d78-82c5-9d450a283aea,3
06d5e9fc-29e0-4dc7-8bbc-f1abfae88e71,5
823ee10e-3a9a-4bd4-ad20-85051f71cf47,4
95600f13-7509-491f-aa4a-cc7f7954d80c,3
2c87fdfc-b6d6-48ed-8f15-6923ad77d7cc,4
88b62fb5-cc81-4f08-a2a2-e71e5cc3e62b,3
8bce935a-58ee-4cf7-8688-14c9b756bdf6,5
efb60c20-a4a6-460e-9423-f8bfc4a79812,4
9fc3225f-1210-4a74-92b2-926e8d89fbcc,3
a615845f-63ea-4149-9445-f2ca335044ad,4
c42bc5c7-2d3e-476f-8afc-be1f01ad5545,3
6d667c27-dc4f-43ee-86ec-a5306fa1f411,5
1ee143e5-3b08-44ef-90c0-29310da1051f,4
4509d1ea-f201-4645-915f-a145f8725c42,3
910d571c-757b-49be-88ec-ced7848e672a,4
675e6aab-2e88-4973-ae5f-55bebd47dd06,3
5a0f266d-55e0-4c76-9752-ac8d111b6184,5
2dc7303c-e558-41ce-88e3-9e88ba9f272c,4
9a546bf5-2d59-459e-953b-0ce5a754d051,3
1bb9adb9-f5fc-46b2-9395-98379077d3e2,4
e291d64a-1a43-45e4-9e31-33ba2a29c59c,3
46e498d6-62b0-4d99-a507-e6eaf6b223ae,5
10752720-5c2c-4fa8-b03d-057c5559d15c,4
85209ecb-d567-4ee0-87bc-ad74d34f8698,3
99f1bba8-1e83-4021-aa50-383ad4151c8b,4
7ed4c1ba-238a-4884-b20f-772b28aea362,3
907b6532-32b9-4651-8067-e2691b136bcd,5
fef6d01e-e3a4-4d08-b4bb-66f2888ffcac,4
89ac9242-aff2-4a1c-aca8-2a35c102989c,3
49dedf4e-138f-4f91-bf7c-b1b35071708e,4
da7e7804-46c8-4411-a64c-b7ffa24342f0,3
beb9b3ed-b5fb-41b4-a0b9-e90f1d62b3cd,5 
